BASE_DATE,ADM_DR_CD,ADM_DR_NM
20200630,3735032,남정면
20200630,3735033,달산면
20200630,3735034,지품면
20200630,3735035,축산면
20200630,3735036,영해면
20200630,3735037,병곡면
20200630,3735038,창수면
20200630,3736011,화양읍
20200630,3736012,청도읍
20200630,3736031,각남면
20200630,3736032,풍각면
20200630,3736033,각북면
20200630,3736034,이서면
20200630,3736035,운문면
20200630,3736036,금천면
20200630,3736037,매전면
20200630,3737012,대가야읍
20200630,3737031,덕곡면
20200630,3737032,운수면
20200630,3737033,성산면
20200630,3737034,다산면
20200630,3737035,개진면
20200630,3737036,우곡면
20200630,3737037,쌍림면
20200630,3738011,성주읍
20200630,3738031,선남면
20200630,3738032,용암면
20200630,3738033,수륜면
20200630,3738034,가천면
20200630,3738035,금수면
20200630,3738036,대가면
20200630,3738037,벽진면
20200630,3738038,초전면
20200630,3738039,월항면
20200630,3739011,왜관읍
20200630,3739012,북삼읍
20200630,3739013,석적읍
20200630,3739031,지천면
20200630,3739032,동명면
20200630,3739033,가산면
20200630,3739036,약목면
20200630,3739037,기산면
20200630,3740011,예천읍
20200630,3740031,용문면
20200630,3740034,감천면
20200630,3740035,보문면
20200630,3740036,호명면
20200630,3740037,유천면
20200630,3740038,용궁면
20200630,3740039,개포면
20200630,3740040,지보면
20200630,3740041,풍양면
20200630,3740042,효자면
20200630,3740043,은풍면
20200630,3741011,봉화읍
20200630,3741031,물야면
20200630,3741032,봉성면
20200630,3741033,법전면
20200630,3741034,춘양면
20200630,3741035,소천면
20200630,3741036,석포면
20200630,3741037,재산면
20200630,3741038,명호면
20200630,3741039,상운면
20200630,3742011,울진읍
20200630,3742012,평해읍
20200630,3742031,북면
20200630,3742033,근남면
20200630,3742035,기성면
20200630,3742036,온정면
20200630,3742037,죽변면
20200630,3742038,후포면
20200630,3742039,금강송면
20200630,3742040,매화면
20200630,3743011,울릉읍
20200630,3743031,서면
20200630,3743032,북면
20200630,3803011,문산읍
20200630,3803031,내동면
20200630,3803032,정촌면
20200630,3803033,금곡면
20200630,3803034,진성면
20200630,3803035,일반성면
20200630,3803036,이반성면
20200630,3803037,사봉면
20200630,3803038,지수면
20200630,3803039,대곡면
20200630,3803040,금산면
20200630,3803041,집현면
20200630,3803042,미천면
20200630,3803043,명석면
20200630,3803044,대평면
20200630,3803045,수곡면
20200630,3803065,상평동
20200630,3803066,초장동
20200630,3803067,평거동
20200630,3803068,신안동
20200630,3803069,이현동
20200630,3803070,판문동
20200630,3803071,가호동
20200630,3803072,천전동
20200630,3803073,성북동
20200630,3803074,중앙동
20200630,3803075,상봉동
20200630,3803076,충무공동
20200630,3803077,상대동
20200630,3803078,하대동
20200630,3805011,산양읍
20200630,3805031,용남면
20200630,3805032,도산면
20200630,3805033,광도면
20200630,3805034,욕지면
20200630,3805035,한산면
20200630,3805036,사량면
20200630,3805052,명정동
20200630,3805053,중앙동
20200630,3805054,정량동
20200630,3805055,북신동
20200630,3805056,무전동
20200630,3805062,도천동
20200630,3805063,미수동
20200630,3805064,봉평동
20200630,3806011,사천읍
20200630,3806031,정동면
20200630,3806032,사남면
20200630,3806033,용현면
20200630,3806034,축동면
20200630,3806035,곤양면
20200630,3806036,곤명면
20200630,3806037,서포면
20200630,3806051,동서동
20200630,3806052,선구동
20200630,3806053,동서금동
20200630,3806055,벌용동
20200630,3806057,향촌동
20200630,3806059,남양동
20200630,3807011,진영읍
20200630,3807032,주촌면
20200630,3807033,진례면
20200630,3807034,한림면
20200630,3807035,생림면
20200630,3807036,상동면
20200630,3807037,대동면
20200630,3807051,동상동
20200630,3807052,회현동
20200630,3807053,부원동
20200630,3807054,내외동
20200630,3807055,북부동
20200630,3807056,칠산서부동
20200630,3807058,활천동
20200630,3807059,삼안동
20200630,3807060,불암동
20200630,3807061,장유1동
20200630,3807062,장유2동
20200630,3807063,장유3동
